,금융회사,상품명,적립방식,세전이자율,최고우대금리,가입대상,이자계산방식,우대조건,가입방법,만기후이자율,기타유의사항,개월수,상품종류
1251,하나저축은행,정기적금,정액적립식,3.80%,3.80%,제한없음,단리,없음,"인터넷,스마트폰",-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),36,적금
1252,하나저축은행,정기적금,정액적립식,3.80%,3.80%,제한없음,복리,없음,"인터넷,스마트폰",-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),36,적금
1253,KB저축은행,KB착한e-Plus정기적금,정액적립식,3.70%,3.80%,제한없음,복리,"-KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용","인터넷,스마트폰",- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- KB착한정기적금과 납입한도 합산 적용,36,적금
1254,KB저축은행,KB착한e-Plus정기적금,정액적립식,3.70%,3.80%,제한없음,단리,"-KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용","인터넷,스마트폰",- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- KB착한정기적금과 납입한도 합산 적용,36,적금
1255,KB저축은행,KB착한정기적금,정액적립식,3.60%,3.80%,제한없음,복리,"- 인터넷뱅킹 신규가입하여 출금계좌를 등록한 후 당일 창구 신규시 우대금리 연 0.1%p적용. 단, 신규가입일 포함 14일 이내 타기관 공인인증서 미등록시 우대금리 적용해제 -KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용",영업점,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- Kbe-Plus착한정기적금과 납입한도 합산 적용,36,적금
1256,KB저축은행,KB착한정기적금,정액적립식,3.60%,3.80%,제한없음,단리,"- 인터넷뱅킹 신규가입하여 출금계좌를 등록한 후 당일 창구 신규시 우대금리 연 0.1%p적용. 단, 신규가입일 포함 14일 이내 타기관 공인인증서 미등록시 우대금리 적용해제 -KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용",영업점,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- Kbe-Plus착한정기적금과 납입한도 합산 적용,36,적금
1257,OSB저축은행,정기적금,정액적립식,3.80%,3.80%,제한없음,단리,없음,"영업점,인터넷,스마트폰",- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용- 만기 후 1개월 경과: 보통예금 금리(0.2%),-월 불입금 1만원 이상-6개월 이상 ~ 60개월 까지 (월 단위 가능)-만기시 이자지급,36,적금
1258,삼호저축은행,정기적금,자유적립식,3.70%,3.70%,없음,단리,없음,영업점,"만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%)",없음,36,적금
1259,삼호저축은행,정기적금,자유적립식,3.70%,3.70%,없음,단리,없음,"인터넷,스마트폰","만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%)",없음,36,적금
1260,융창저축은행,정기적금,정액적립식,3.70%,3.70%,제한없음,단리,없음,영업점,- 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용- 만기 후 1개월 초과:0.2%,없음,36,적금
1261,융창저축은행,e정기적금,정액적립식,3.70%,3.70%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용- 만기 후 1개월 초과:0.2%,없음,36,적금
1262,융창저축은행,SB톡톡 정기적금,정액적립식,3.70%,3.70%,제한없음,단리,없음,스마트폰,- 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용- 만기 후 1개월 초과:0.2%,없음,36,적금
1263,키움예스저축은행,키워드림 정기적금,정액적립식,3.70%,3.70%,제한없음,단리,"*인터넷뱅킹, 스마트뱅킹, 비대면 가입시 우대금리 적용",영업점,*만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율*만기후 1개월 초과 : 만기시점 보통예금 이율,-,36,적금
1264,HB저축은행,정기적금,정액적립식,3.70%,3.70%,제한없음,복리,해당사항없음,영업점,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,영업점 가입 전용상품,36,적금
1265,HB저축은행,정기적금,정액적립식,3.70%,3.70%,제한없음,단리,해당사항없음,영업점,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,영업점 가입 전용상품,36,적금
1266,대한저축은행,정기적금,자유적립식,3.60%,3.60%,만19세 미만의 청소년만 가입가능,단리,없음,영업점,- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리 - 만기후 1개월초과 : 보통예금 금리,창구에서만 가입가능,36,적금
1267,대한저축은행,정기적금,정액적립식,3.60%,3.60%,제한없음,단리,없음,영업점,- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리- 만기후 1개월초과 : 보통예금 금리,해당없음,36,적금
1268,대한저축은행,정기적금-인터넷,정액적립식,3.60%,3.60%,제한없음,단리,없음,"인터넷,스마트폰",- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리- 만기후 1개월초과 : 보통예금 금리,해당없음,36,적금
1269,민국저축은행,정기적금,정액적립식,3.60%,3.60%,개인,단리,- 없음,스마트폰,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36,적금
1270,민국저축은행,정기적금,정액적립식,3.50%,3.60%,제한없음,단리,* 최대우대금리 : 0.1% - 3명 이상 창구 방문하여 1년이상 적금 가입시 : 연 0.1% - 적금 만기해지 후 1년이상 정기예금 및 적금 신규 가입시 : 연 0.1%,영업점,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36,적금
1271,민국저축은행,정기적금,정액적립식,3.60%,3.60%,개인,단리,- 없음,모집인,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36,적금
1272,민국저축은행,정기적금,정액적립식,3.60%,3.60%,개인,단리,- 없음,인터넷,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36,적금
1273,부림저축은행,아이사랑 정기적금,정액적립식,3.60%,3.60%,미취학아동과 부모님이 함께 가입,단리,미취학아동과 부모님이 함께 가입하는 경우,영업점,- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36,적금
1274,평택저축은행,정기적금,정액적립식,3.60%,3.60%,제한없음,단리,해당없음,영업점,"1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율, 1개월 초과 → 보통예금 이율",보호금융상품 1인당 최고 5천만원,36,적금
1275,평택저축은행,정기적금,정액적립식,3.60%,3.60%,제한없음,단리,해당없음,영업점,"1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율, 1개월 초과 → 보통예금 이율",보호금융상품 1인당 최고 5천만원,36,적금
1276,평택저축은행,정기적금-인터넷,정액적립식,3.60%,3.60%,제한없음,단리,해당없음,인터넷,"1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율, 1개월 초과 → 보통예금 이율",보호금융상품 1인당 최고 5천만원,36,적금
1277,유안타저축은행,e-정기적금,정액적립식,3.55%,3.55%,제한없음,단리,없음,"인터넷,스마트폰",만기후 1개월이하:약정금리와 현행금리 중 낮은 금리만기후 1개월초과:현행 보통예금금리,없음,36,적금
1278,한화저축은행,정기적금,정액적립식,3.55%,3.55%,"인터넷뱅킹, 스마트폰뱅킹 전용",단리,-,"인터넷,스마트폰",- 만기 후 1개월 이하: 만기일 현재 금리 적용- 만기 후 1개월 초과: 보통예금 이율,없음,36,적금
1279,한화저축은행,정기적금,정액적립식,3.55%,3.55%,자체앱(Mymo) 전용,단리,-,스마트폰,- 만기 후 1개월 이하: 만기일 현재 금리 적용- 만기 후 1개월 초과: 보통예금 이율,자체앱(Mymo) 전용,36,적금
1280,대백저축은행,한마음정기적금,정액적립식,3.50%,3.50%,제한없음,단리,해당없음,영업점,1개월이내-약정이율과 현행이율중 낮은이율1개월 초과-보통예금이율(0.2%),해당없음,36,적금
1281,동양저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,복리,없음,영업점,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36,적금
1282,동양저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,영업점,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36,적금
1283,동양저축은행,"정기적금(비대면,인터넷뱅킹,스마트폰뱅킹)",정액적립식,3.50%,3.50%,제한없음,단리,없음,"인터넷,스마트폰",1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36,적금
1284,동양저축은행,"정기적금(비대면,인터넷뱅킹,스마트폰뱅킹)",정액적립식,3.50%,3.50%,제한없음,복리,없음,"인터넷,스마트폰",1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36,적금
1285,모아저축은행,생일축하정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 월 30만원 이상,36,적금
1286,모아저축은행,e-모아 정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 계약금액 월 1만원 이상,36,적금
1287,모아저축은행,12干支정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 월 30만원 이상,36,적금
1288,세람저축은행,비대면 정기적금,정액적립식,3.50%,3.50%,제한없음,단리,-,,1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리 1개월 초과: 보통예금 금리,없음,36,적금
1289,예가람저축은행,정기적금,정액적립식,3.50%,3.50%,재직중인 직장인,단리,현재 재직중인 직장인 (사원증 및 명함 지참시),영업점,* 만기후 1개월 이내 : 가입당시 약정금리* 만기후 1개월 초과 : 보통예금금리,영업점 전용상품,36,적금
1290,오성저축은행,플러스 정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,영업점,1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36,적금
1291,오성저축은행,플러스 정기적금,정액적립식,3.50%,3.50%,제한없음,복리,없음,영업점,1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36,적금
1292,오성저축은행,플러스 정기적금(비대면),정액적립식,3.50%,3.50%,제한없음,단리,없음,"인터넷,스마트폰",1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36,적금
1293,오성저축은행,플러스 정기적금(비대면),정액적립식,3.50%,3.50%,제한없음,복리,없음,"인터넷,스마트폰",1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36,적금
1294,유안타저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,영업점,만기후 1개월이하:약정금리와 현행금리 중 낮은 금리만기후 1개월초과:현행 보통예금금리,없음,36,적금
1295,조흥저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,단리,-,영업점,만기후1개월이내 약정금리와 현행고시금리중 낮은 이율1개월초과시 보통예금 이자율 적용,제한없음,36,적금
1296,조흥저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,단리,-,"인터넷,스마트폰",만기후1개월이내 약정금리와 현행고시금리중 낮은 이율1개월초과시 보통예금 이자율 적용,제한없음,36,적금
1297,키움저축은행,"e-plus 정기적금 (인터넷뱅킹,스마트뱅킹)",정액적립식,3.50%,3.50%,개인 및 개인사업자,단리,없음,"인터넷,스마트폰",-만기후 1개월 이내당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율-만기후 1개월 초과연 0.2% (신규시점의 보통예금 금리)※2019년 7월 1일 이후 신규 가입 계좌에 한함.,인터넷 가입,36,적금
1298,키움저축은행,SB톡톡정기적금 (비대면),정액적립식,3.50%,3.50%,제한없음,단리,없음,스마트폰,-만기후 1개월 이내당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율-만기후 1개월 초과연 0.2% (신규시점의 보통예금 금리)※2019년 7월 1일 이후 신규 가입 계좌에 한함.,비대면,36,적금
1299,평택저축은행,정기적금-모바일,정액적립식,3.50%,3.50%,제한없음,단리,해당없음,스마트폰,"1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율, 1개월 초과 → 보통예금 이율",보호금융상품 1인당 최고 5천만원,36,적금
1300,한국투자저축은행,비대면 정기적금,정액적립식,3.50%,3.50%,제한없음,단리,- 없음,스마트폰,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36,적금
1301,한국투자저축은행,스마트뱅킹 정기적금,정액적립식,3.50%,3.50%,제한없음,단리,- 없음,스마트폰,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36,적금
1302,한국투자저축은행,인터넷정기적금,정액적립식,3.50%,3.50%,제한없음,단리,- 없음,인터넷,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36,적금
1303,한국투자저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,단리,- 없음,영업점,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36,적금
1304,한화저축은행,정기적금,정액적립식,3.50%,3.50%,없음,단리,-,영업점,- 만기 후 1개월 이하: 만기일 현재 금리 적용- 만기 후 1개월 초과: 보통예금 이율,없음,36,적금
1305,흥국저축은행,비대면 정기적금,정액적립식,3.50%,3.50%,제한없음,복리,없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1306,흥국저축은행,비대면 정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1307,흥국저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1308,흥국저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,복리,없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1309,흥국저축은행,정기적금(자유적립식),자유적립식,3.50%,3.50%,제한없음,복리,없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1310,흥국저축은행,정기적금(자유적립식),자유적립식,3.50%,3.50%,제한없음,단리,없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1311,흥국저축은행,E-정기적금,정액적립식,3.50%,3.50%,제한없음,복리,없음,인터넷,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1312,흥국저축은행,E-정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,인터넷,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1313,흥국저축은행,S-정기적금,정액적립식,3.50%,3.50%,제한없음,복리,없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1314,흥국저축은행,S-정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36,적금
1315,BNK저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,단리,없음,"영업점,인터넷,스마트폰",* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,36,적금
1316,BNK저축은행,정기적금,정액적립식,3.50%,3.50%,제한없음,복리,없음,"영업점,인터넷,스마트폰",* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,36,적금
1317,MS저축은행,정기적금,정액적립식,3.50%,3.50%,없음,단리,없음,"영업점,인터넷,스마트폰",- 만기후 1개월간은 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리를 적용하고 만기후 1개월 경과시는 보통예금이자율,없음,36,적금
1318,OSB저축은행,프리스타일적금,자유적립식,3.50%,3.50%,제한없음,단리,없음,"영업점,인터넷,스마트폰",- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용- 만기 후 1개월 경과: 보통예금 금리(0.2%),"-월 불입금 1만원 이상-12개월 이상 ~ 36개월 까지 (월 단위 가능)-만기시 이자지급-월중 입금액은 계약금액의 10%를 초과할 수 없으며, 만기일로부터 1개월 이내는 납입불가",36,적금
1319,금화저축은행,정기적금,자유적립식,3.40%,3.40%,인터넷 및 모바일뱅킹 사용자,단리,-,"인터넷,스마트폰",① 만기 후 1개월 이내 : 약정금리② 만기 후 1개월 초과 : 보통예금 이율 (0.2%),중도해지 이율 - ① 1개월 미만 : 보통예금이율 (0.2%)② 1개월이상~6개월미만 : 약정이율X50%③ 6개월이상~12개월미만 : 약정이율X55%④ 12개월이상~24개월미만 : 약정이율X60%⑤ 24개월이상~60개월미만 : 약정이율X70%,36,적금
1320,더케이저축은행,e-정기적금,정액적립식,3.40%,3.40%,제한없음,단리,없음,"인터넷,스마트폰",-30일 이내 : 약정금리와 현행 고시금리중 낮은 이율-30일 이후 : 보통예금 이율,"-인터넷뱅킹, 스마트폰뱅킹 전용",36,적금
1321,모아저축은행,정기적금,정액적립식,3.40%,3.40%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 계약금액 월 1만원 이상,36,적금
1322,부림저축은행,정기적금,정액적립식,3.40%,3.40%,개인 및 법인고객,단리,없음,영업점,- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36,적금
1323,부림저축은행,톡톡정기적금(비대면),정액적립식,3.40%,3.40%,개인,단리,없음,스마트폰,- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36,적금
1324,부림저축은행,e-정기적금,정액적립식,3.40%,3.40%,개인 및 법인고객,단리,인터넷으로 가입,"인터넷,스마트폰",- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36,적금
1325,예가람저축은행,정기적금,정액적립식,3.40%,3.40%,만20~39세 고객 (생일기준),단리,만20~39세 고객 (생일기준),영업점,* 만기후 1개월 이내 : 가입당시 약정금리* 만기후 1개월 초과 : 보통예금금리,영업점 전용상품,36,적금
1326,오투저축은행,정기적금,자유적립식,3.40%,3.40%,제한없음,단리,-,영업점,1. 2019년 7월 1일 이전 신규-보통예금 이율2. 2019년 7월 1일 신규분 부터-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율,중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,36,적금
1327,오투저축은행,정기적금,자유적립식,3.40%,3.40%,제한없음,복리,-,영업점,1. 2019년 7월 1일 이전 신규-보통예금 이율2. 2019년 7월 1일 신규분 부터-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율,중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,36,적금
1328,키움저축은행,정기적금,정액적립식,3.40%,3.40%,개인 및 개인사업자,단리,없음,영업점,-만기후 1개월 이내당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율-만기후 1개월 초과연 0.2% (신규시점의 보통예금 금리)※2019년 7월 1일 이후 신규 가입 계좌에 한함.,없음,36,적금
1329,KB저축은행,KB일반e-Plus정기적금,정액적립식,3.30%,3.40%,제한없음,복리,"-KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용","인터넷,스마트폰",- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상,36,적금
1330,KB저축은행,KB일반e-Plus정기적금,정액적립식,3.30%,3.40%,제한없음,단리,"-KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용","인터넷,스마트폰",- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상,36,적금
1331,KB저축은행,KB일반정기적금,정액적립식,3.20%,3.40%,제한없음,복리,"- 인터넷뱅킹 신규가입하여 출금계좌를 등록한 후 당일 창구 신규시 우대금리 연 0.1%p적용. 단, 신규가입일 포함 14일 이내 타기관 공인인증서 미등록시 우대금리 적용해제 -KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용",영업점,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상,36,적금
1332,KB저축은행,KB일반정기적금,정액적립식,3.20%,3.40%,제한없음,단리,"- 인터넷뱅킹 신규가입하여 출금계좌를 등록한 후 당일 창구 신규시 우대금리 연 0.1%p적용. 단, 신규가입일 포함 14일 이내 타기관 공인인증서 미등록시 우대금리 적용해제 -KB스타클럽 고객 연0.1%p적용. 단, 베스트, 그랜드, VIP,VVIP등급 적용",영업점,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상,36,적금
1333,삼호저축은행,정기적금,정액적립식,3.35%,3.35%,없음,단리,"만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%)",영업점,없음,없음,36,적금
1334,삼호저축은행,정기적금,정액적립식,3.35%,3.35%,없음,복리,"만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%)",영업점,없음,없음,36,적금
1335,삼호저축은행,정기적금(인터넷-모바일),정액적립식,3.35%,3.35%,없음,단리,"만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%)","인터넷,스마트폰",없음,없음,36,적금
1336,삼호저축은행,정기적금(인터넷-모바일),정액적립식,3.35%,3.35%,없음,복리,"만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%)","인터넷,스마트폰",없음,없음,36,적금
1337,금화저축은행,정기적금,자유적립식,3.30%,3.30%,제한없음,단리,창구전용상품,영업점,① 만기 후 1개월 이내 : 약정금리② 만기 후 1개월 초과 : 보통예금 이율 (0.2%),중도해지 이율 - ① 1개월 미만 : 보통예금이율 (0.2%)② 1개월이상~6개월미만 : 약정이율X50%③ 6개월이상~12개월미만 : 약정이율X55%④ 12개월이상~24개월미만 : 약정이율X60%⑤ 24개월이상~60개월미만 : 약정이율X70%,36,적금
1338,더케이저축은행,정기적금,정액적립식,3.30%,3.30%,제한없음,단리,없음,"영업점,인터넷,스마트폰",-30일 이내 : 약정금리와 현행 고시금리중 낮은 이율-30일 이후 : 보통예금 이율,없음,36,적금
1339,청주저축은행,정기적금,자유적립식,3.30%,3.30%,제한없음,단리,없음,영업점,1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 043-256-9114,36,적금
