은행,상품명,적립방식,금리,최고우대금리,이자계산방식,우대조건,가입대상,가입방법,만기후금리,유의사항,저축기간
광주은행,해피라이프_여행스케치적금V,자유적립식,3.2,4.4,단리,▶ 최고우대금리 1.20%p ①해피라이프_여행스케치외화적금V 동일자가입 0.5%p ②해지원금 기준 500만원이상 : 최고0.2%p ③신용(체크)카드사용실적300만원이상:최고 0.3%p ④개인(신용)정보 동의: 0.2%p,제한없음(단/국가및지방자치단체제외),영업점/스마트폰,*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 *만기후 1개월 초과: 0.1%,1. 가입기간 : 6개월이상 3년제2. 가입금액 : 월5만원 이상 5백만원 이하 (1인1계좌),24
신한은행,신한 알.쏠 적금,자유적립식,3.1,4.4,단리,※가산금리 최고 연 1.30% - 소득이체 : 연 0.6% - 카드이용 : 연 0.3% - 오픈뱅킹 : 연 0.6% - 청약보유 : 연 0.3% - 마케팅동의 : 연 0.1% ※ 우대금리 항목별 자세한 적용 조건은 상품설명서 참조,제한없음,영업점/스마트폰,-1개월 이하:(일반) 정기적금 기본금리 1/2(단/ 최저금리 0.10%)-1개월 초과~6개월 이하: (일반) 정기적금 기본금리의 1/4(단/ 최저금리 0.10%)-6개월 초과 0.10%,1. 가입한도: 월300만원 이하2. 1인 다계좌,24
농협은행주식회사,NH내가Green초록세상적금,자유적립식,3.15,4.15,단리,※ 우대금리 최대한도 : 1.0%p(연%/ 세전) 1. 온실가스 줄이기 실천서약서 동의 : 0.1%p 2. 통장미발급 : 0.3%p 3. 손하나로인증 서비스 등록 : 0.2%p 4. 대중교통이용 : 0.2%p 5. NH내가Green초록세상예금 동시 보유 : 0.2%p,개인,영업점/인터넷/스마트폰,만기후 1년 이내 : 만기시점 계약기간별 기본금리의 1/2만기후 1년 초과 : 보통예금 금리,초입금5만원 이상 및 매회 1만원 이상/ 매월50만원이내(단/ 만기일 전 3개월 이내에는 이전 적립금 합계액을 초과하여 입금불가)※자세한 사항은 상품설명서 참조,24
주식회사 케이뱅크,코드K 자유적금,자유적립식,4.05,4.05,단리,금리우대 코드를 입력하는 경우 우대금리 적용,만 17세 이상 실명의 개인 및 개인사업자,스마트폰,만기 후 - 1개월 이내: 만기시점 기본금리 X 50% - 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30%- 6개월 초과: 연 0.20%,가입금액: 1만원 이상 30만원 이하가입기간: 6개월/ 1년/ 2년/ 3년 (1인 최대 3계좌),24
국민은행,KB국민프리미엄적금(정액),정액적립식,2.95,3.95,단리,① 단체가입/나라사랑/쿠폰 우대이율: 1년: 연 0.6%p/ 2년: 연 0.7%p/ 3년: 연 0.9%p/ 5년: 연 1.0%p (중복적용되지 않음/ 계약기간별차등적용) ② 교차거래 우대이율: 연 0.3%p,실명의 개인,영업점/인터넷/스마트폰/전화(텔레뱅킹),- 1개월 이내 : 기본이율 X 50%- 1개월 초과 ~ 3개월 이내 : 기본이율 X 30%- 3개월 초과 : 0.1%,1인 1계좌,24
농협은행주식회사,NH직장인월복리적금,자유적립식,3.12,3.92,복리,1. 급여입금실적 보유 고객 중 - 가입기간 중 3개월 이상 급여이체시 : 0.3%p - 주택청약종합저축 또는 펀드가입 : 0.2%p - NH채움카드 결제실적 1백만원 이상 : 0.2%p 2. 인터넷(스마트)뱅킹 또는 올원뱅크로 가입 : 0.1%p,만18세이상 개인,영업점/인터넷/스마트폰,만기후 3개월 이내 : 만기시점 국고채 1년물 금리만기후 1년 이내 : 만기시점 채움적금 계약기간별 고시금리의 50%만기후 1년 초과 : 만기시점 보통예금 금리,초입금 및 매회 입금 1만원 이상 원 단위/ 1인당 분기별 3백만원 이내 적립 가능(단/계약기간 3/4 경과 후 적립할 수 있는 금액은 이전 적립누계액의 1/2이내),24
수협은행,Sh평생주거래우대적금,정액적립식,2.7,3.9,단리,*최대우대금리:1.2% 신규시적용금리 -자동이체출금3건이상:0.2% -최초예적금고객/재예치/장기거래각0.05%(최대0.1%) 만기시적용금리:최대0.9% -급여/연금이체/수협카드결제각0.3% -공과금이체최대0.3% ※단위:연%p,실명의 개인,영업점,* 만기후 1년 이내 - 만기당시 정기적금 계약기간별 기본금리 1/2* 만기후 1년 초과 - 만기당시 보통예금 기본금리,- 1인 1계좌 - 월 가입한도 : 100만원,24
아이엠뱅크,내손안에 적금,정액적립식,3.18,3.73,단리,* 최고우대금리 : 연0.55%p - 당행 인터넷/모바일뱅킹을 통하여 최초로 적립식예금 가입 시 : 연0.20%p - 상품 가입 전 최근 3개월 이내 당행 인터넷/모바일뱅킹을 통한 이체거래 3회 이상 : 연0.10%p - 상품 가입 전 수수료우대 통장 보유 고객 : 연0.20%p * 해당 상품을 모바일뱅킹을 통해 가입 : 연0.05%p,실명의 개인,스마트폰,만기 후 1개월 미만 경과: 약정이자율 x 50%만기 후 3개월 미만 경과: 약정이자율 x 25%만기 후 3개월 이상 경과: 약정이자율 x 10%,1계좌당 가입한도 : 월 100만원(최저 10만원 이상),24
주식회사 카카오뱅크,카카오뱅크 자유적금,자유적립식,3.5,3.7,단리,자동이체시 우대금리 제공 : 연 0.20%p - 제공조건 : 전체 계약월수의 1/2이상을 자동이체로 납입하고 만기 해지하는 경우 - 유의사항 : 만기 자동연장된 원리금은 우대금리를 제공하지 않음,만 17세 이상의 실명의 개인,스마트폰,- 만기 후 1개월 이내 : 가입(또는 자동연장)시점 기본금리x50%- 만기 후 1개월초과 3개월 이내 : 가입(또는 자동연장)시점 기본금리x30%- 만기 후 3개월 초과 : 0.20%,1. 가입방법 : 스마트폰2. 가입금액 : 1천원 이상(원단위)3. 가입기간 : 6개월 이상 ~ 36개월 이하(월/ 일단위 지정 가능)4. 월 적립한도 : 1천원 이상 월 300만원 이하 원단위(단/ 자동연장된 원리금은 월 적립한도에 포함되지 않음),24
국민은행,KB맑은하늘적금,자유적립식,2.75,3.65,단리,맑은하늘을 위한 미션별 제공조건을 달성하는 경우 각 미션별 우대이율 제공 -1년제 최고 연0.8%p/ 2년제 최고 연 0.9%p/ 3년제 최고 연 1.0%p ①종이통장 줄이기 미션: 연 0.1%p ②종이서식 줄이기 미션: 연 0.2%p ③대중교통 미션: 1년제 연 0.4%p/ 2년제 연 0.5%p/ 3년제 연 0.6%p ④퀴즈미션: 연 0.1%p,실명의 개인,영업점/인터넷/스마트폰,- 1개월 이내 : 기본이율 X 50%- 1개월 초과 ~ 3개월 이내 : 기본이율 X 30%- 3개월 초과 : 0.1%,공동명의 불가(1인 최대 3계좌),24
아이엠뱅크,iM스마트적금,자유적립식,3.2,3.65,단리,* 최고우대금리 : 연0.45%p - 가입일로부터 3개월 이내 1가지 이상 요건 충족시 : 연0.20%p ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) - 전체 계약월수 중 1/2이상 당행 계좌에서 자동이체 납입 시 : 연0.20%p * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p,실명의 개인,인터넷/스마트폰,만기 후 1개월 미만 경과: 약정이자율 x 50%만기 후 3개월 미만 경과: 약정이자율 x 25%만기 후 3개월 이상 경과: 약정이자율 x 10%,1계좌당 가입한도 : 월 100만원(최저 5만원 이상),24
전북은행,JB 다이렉트적금(정액적립식),정액적립식,3.55,3.65,단리,추가우대금리 : 당행 계좌간 자동이체를 통해 6회이상 입금한 경우 연 0.1% 금리우대,실명의 개인 및 개인사업자(임의단체 제외),인터넷/스마트폰,√만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(정액적립식) 실행이율의 1/2√만기후 1개월초과 경과분 : 연 0.1%,1. 초회불입금 1만원이상/ 1인당 월별 최고 5백만원이내2. 인터넷뱅킹/스마트폰뱅킹 가입상품,24
전북은행,JB 다이렉트적금(자유적립식),자유적립식,3.45,3.55,단리,추가우대금리 : 당행 계좌간 자동이체를 통해 이 예금으로 자동이체 된 금액에 0.1% 금리 우대,실명의 개인 및 개인사업자(임의단체 제외),인터넷/스마트폰,√만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(자유적립식) 실행이율의 1/2√만기후 1개월초과 경과분 : 연 0.1%,1. 초회불입금 1만원이상/ 1인당 월별 최고 1천만원이내2. 만기직전 1개월간 적립합계는 이전기간 적립금액을 초과할 수 없음3. 인터넷뱅킹/스마트폰뱅킹 가입상품,24
한국스탠다드차타드은행,퍼스트가계적금,정액적립식,3.55,3.55,단리,없음,개인(개인사업자 포함),영업점/인터넷/스마트폰,만기 후 1개월: 약정이율의 50%만기 후 1개월 초과 1년 이내: 약정이율의 30%만기 후 1년 초과: 약정이율의 10%,해당없음,24
수협은행,Sh해양플라스틱Zero!적금 (정액적립식),정액적립식,3.0,3.5,단리,* 최대우대금리:0.5% 1. 해양플라스틱감축서약 : 0.1% (신규시) 2. 봉사활동 또는 상품홍보 : 0.2% (만기시) 3. 입출금통장 최초신규 : 0.2% (만기시) 4. 자동이체 출금실적 : 0.2% (만기시) - 수협신용카드 / 당행 펀드 / 수협체크카드 ※단위:연%p,실명의 개인,영업점/인터넷/스마트폰,* 만기후 1년 이내 - 만기당시 정기적금 계약기간별 기본금리 1/2* 만기후 1년 초과 - 만기당시 보통예금 기본금리,- 1인 1계좌 - 월 가입한도 : 100만원,24
토스뱅크 주식회사,토스뱅크 자유 적금,자유적립식,3.0,3.5,단리,· 적금 가입 시 설정되는 월 단위 자동이체를 모두 성공하는 경우 : 연 0.50% 제공,· 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인,스마트폰,· 만기 후 1개월 이내 : 만기시점 기본금리 X 50% · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20% · 만기 후 3개월 초과 : 연 0.10%,· 1인 1계좌 (단/ 이벤트 등으로 토스뱅크가 복수의 계좌개설을 허용하는 경우 추가 개설 가능)· 가입금액 : 0원 이상 300만원 이하· 우대금리는 만기 해지하는 경우에만 제공됨,24
하나은행,내맘적금,정액적립식,2.9,3.4,단리,하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50%,실명의 개인또는 개인사업자(1인 다계좌 가능),영업점/인터넷/스마트폰/전화(텔레뱅킹),1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/21개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4,1. 1인 다계좌 가능2. 가입금액 - 1천원 이상~1/000만원 이하(원단위)3. 적립한도 - 자유적립식 : 매월 1원 이상~1/000만원 이하(원단위) - 정액적립식 : 매월 1천원 이상~1/000만원 이하(원단위),24
한국스탠다드차타드은행,퍼스트가계적금,자유적립식,3.4,3.4,단리,없음,개인(개인사업자 포함),영업점/인터넷/스마트폰,만기 후 1개월: 약정이율의 50%만기 후 1개월 초과 1년 이내: 약정이율의 30%만기 후 1년 초과: 약정이율의 10%,해당없음,24
하나은행,내맘적금,자유적립식,2.8,3.3,단리,하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50%,실명의 개인또는 개인사업자(1인 다계좌 가능),영업점/인터넷/스마트폰/전화(텔레뱅킹),1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/21개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4,1. 1인 다계좌 가능2. 가입금액 - 1천원 이상~1/000만원 이하(원단위)3. 적립한도 - 자유적립식 : 매월 1원 이상~1/000만원 이하(원단위) - 정액적립식 : 매월 1천원 이상~1/000만원 이하(원단위),24
부산은행,저탄소 실천 적금,자유적립식,2.5,2.9,단리,조건 달성여부에 따라 우대금리 적용 *개인형 우대이율: 최대0.4% *기업형(개인사업자 및 법인)우대이율: 최대0.4%,제한없음,영업점/인터넷/스마트폰,- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%,1. 가입한도: 월 1만원 이상 1천만원 이하 원단위 (월 1천만원 이하 불입 가능)2. 자유적립식,24
수협은행,Sh해양플라스틱Zero!적금 (자유적립식),자유적립식,2.35,2.85,단리,* 최대우대금리:0.5% 1. 해양플라스틱감축서약 : 0.1% (신규시) 2. 봉사활동 또는 상품홍보 : 0.2% (만기시) 3. 입출금통장 최초신규 : 0.2% (만기시) 4. 자동이체 출금실적 : 0.2% (만기시) - 수협신용카드 / 당행 펀드 / 수협체크카드 ※단위:연%p,실명의 개인,영업점/인터넷/스마트폰,* 만기후 1년 이내 - 만기당시 상호부금 계약기간별 기본금리 1/2* 만기후 1년 초과 - 만기당시 보통예금 기본금리,- 1인 1계좌 - 월 가입한도 : 20만원,24
한국산업은행,KDB 자유적금,자유적립식,2.79,2.79,단리,해당없음,개인/ 개인사업자/ 임의단체,영업점/인터넷/스마트폰,* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율,해당없음,24
부산은행,BNK내맘대로 적금,자유적립식,2.5,2.7,단리,*우대이율 최대 0.2% - 신규시 우대이율 0.05% 및 해지시 우대이율 최대 0.15%,제한없음,영업점/인터넷/스마트폰,- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%,1. 가입금액 : 1천원 이상2. 가입기간 : 6개월 이상 60개월 이하(일단위),24
수협은행,Sh월복리자유적금,자유적립식,1.8,2.5,복리,*최대우대금리:0.7% -첫거래고객:0.3% -카드거래:최대0.3% -복수거래:0.1% -요구불거래:최대0.2% -인터넷뱅킹고객:0.1% -자동이체실적:0.1% ※단위:연%p,실명의 개인 및 개인사업자,영업점/인터넷/스마트폰,* 만기후 1년 이내 - 만기당시 상호부금계약기간별 기본금리 1/2* 만기후 1년 초과 - 만기당시 보통예금 기본금리,- 1인 1계좌- 월 가입한도 : 100만원,24
한국산업은행,KDB 기업정기적금,정액적립식,2.34,2.34,단리,해당없음,개인사업자/ 조합(비영리법인 포함)/ 법인,영업점/인터넷,* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율,해당없음,24
웰컴저축은행,웰컴 페이적금,정액적립식,1.0,6.5,단리,1) 계약기간의 2/3회 이상 웰컴 입출금통장을 통한 자동이체로 납입 : 2.0%p 2) 웰컴 입출금통장을 연결하여 거래한 간편결제 또는 체크카드 월평균 이용 실적 - 10만원 이상 30만원 미만 : 1.5%p - 30만원 이상 50만원 미만 : 2.0%p - 50만원 이상 : 3.5%p,제한없음,영업점/인터넷/스마트폰,*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품/ 동일 계약기간의 신규약정금리 중 낮은 금리를 적용*만기 후 1개월 초과 : 연 0.1%※ 만기시점의 동일 상품/ 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용,1인당 가입한도 월 30만원 (1인 1계좌/ WELCOME 체크플러스2 정기적금 보유자 가입 불가),24
하나저축은행,정기적금,정액적립식,2.0,5.0,단리,당 저축은행 APP 월1회 이상 로그인 기록 횟수에 따라 차등적용+2.0% (7회~9회:0.5%/10회~11회:1.0%/ 12회이상:2.0%) *월 최대 로그인 기록은 1회로 제한 적용(ex.12월 3회 로그인→12월 실적 1회 인정) 당 저축은행 개인(신용)정보 수집·이용 제공동의(상품서비스 안내 등) 및 상품서비스 안내수단 전체 동의 시 1.0%,개인(1인/1계좌에 한함_활동좌기준),영업점/인터넷/스마트폰,-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1.6개월 유지시 중도해지 시점 적용된 기본금리+우대금리 이자를 지급하는 정기적금2. 가입금액 : 1만원이상~100만원이하3. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상~6개월 미만약정금리x(경과월수/계약월수)x60%(최저금리 : 약정금리 * 50%)-6개월 이상: 해지시점 기본금리+우대금리,24
하나저축은행,정기적금,정액적립식,2.0,5.0,복리,당 저축은행 APP 월1회 이상 로그인 기록 횟수에 따라 차등적용+2.0% (7회~9회:0.5%/10회~11회:1.0%/ 12회이상:2.0%) *월 최대 로그인 기록은 1회로 제한 적용(ex.12월 3회 로그인→12월 실적 1회 인정) 당 저축은행 개인(신용)정보 수집·이용 제공동의(상품서비스 안내 등) 및 상품서비스 안내수단 전체 동의 시 1.0%,개인(1인/1계좌에 한함_활동좌기준),영업점/인터넷/스마트폰,-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1.6개월 유지시 중도해지 시점 적용된 기본금리+우대금리 이자를 지급하는 정기적금2. 가입금액 : 1만원이상~100만원이하3. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상~6개월 미만약정금리x(경과월수/계약월수)x60%(최저금리 : 약정금리 * 50%)-6개월 이상: 해지시점 기본금리+우대금리,24
CK저축은행,정기적금,정액적립식,4.7,4.7,단리,없음,제한없음,인터넷/스마트폰,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
인천저축은행,생일축하플러스정기적금,정액적립식,4.5,4.5,단리,창구전용상품,제한없음,영업점,*만기후 1개월이내 : 최초약정이율*만기 1개월이후 : 연0.1%,적금가입금액 1만원이상,24
조흥저축은행,정기적금,정액적립식,4.5,4.5,단리,-,제한없음,영업점,만기후1개월이내 약정금리와 현행고시금리중 낮은 이율1개월초과시 보통예금 이자율 적용,제한없음,24
CK저축은행,정기적금,자유적립식,4.5,4.5,복리,없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
CK저축은행,정기적금,정액적립식,4.5,4.5,복리,없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
CK저축은행,정기적금,자유적립식,4.5,4.5,단리,없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
CK저축은행,정기적금,정액적립식,4.5,4.5,단리,없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
CK저축은행,정기적금(인터넷/모바일/비대면),정액적립식,4.5,4.5,복리,없음,제한없음,인터넷/스마트폰,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
CK저축은행,정기적금(인터넷/모바일/비대면),자유적립식,4.5,4.5,단리,없음,제한없음,인터넷/스마트폰,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
CK저축은행,정기적금(인터넷/모바일/비대면),정액적립식,4.5,4.5,단리,없음,제한없음,인터넷/스마트폰,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
CK저축은행,정기적금(인터넷/모바일/비대면),자유적립식,4.5,4.5,복리,없음,제한없음,인터넷/스마트폰,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,24
동원제일저축은행,정기적금,정액적립식,4.4,4.4,복리,없음,제한없음,영업점,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,없음,24
동원제일저축은행,정기적금,정액적립식,4.4,4.4,단리,없음,제한없음,영업점,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,없음,24
동원제일저축은행,정기적금(비대면),정액적립식,4.4,4.4,단리,없음,제한없음,인터넷/스마트폰,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,월 최대 불입금: 100만원,24
동원제일저축은행,정기적금(비대면),정액적립식,4.4,4.4,복리,없음,제한없음,인터넷/스마트폰,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,월 최대 불입금: 100만원,24
세람저축은행,비대면 정기적금,정액적립식,4.4,4.4,단리,-,제한없음,nan,1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리 1개월 초과: 보통예금 금리,없음,24
다올저축은행,Fi 정기적금 (대면),정액적립식,4.3,4.3,단리,없음,제한없음,영업점,- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용- 1개월 초과 : 연0.1%,* 중도해지이율 (입금액마다 경과기간별 차등 적용)- 1개월미만 : 가입일의 보통예금 금리- 6개월미만 : 약정이율X50%- 9개월미만 : 약정이율X55%- 12개월미만 : 약정이율X60%- 12개월이상 : 약정이율X70%,24
다올저축은행,Fi 정기적금 (비대면),정액적립식,4.3,4.3,단리,없음,제한없음,인터넷/스마트폰,- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용- 1개월 초과 : 연0.1%,* 중도해지이율 (입금액마다 경과기간별 차등 적용)- 1개월미만 : 가입일의 보통예금 금리- 6개월미만 : 약정이율X50%- 9개월미만 : 약정이율X55%- 12개월미만 : 약정이율X60%- 12개월이상 : 약정이율X70%,24
디비저축은행,M-정기적금(모바일),정액적립식,4.3,4.3,복리,최고우대금리 : 0.2 / 모바일 가입시 : 기본이율* + 0.2% (*기본이율: 가입시 12개월 정기적금 고시이율),실명의 개인,스마트폰,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,최소가입금액: 1만원 이상 / 가입채널: 스마트뱅킹/ SB톡톡+,24
디비저축은행,M-정기적금(모바일),정액적립식,4.3,4.3,단리,최고우대금리 : 0.2 / 모바일 가입시 : 기본이율* + 0.2% (*기본이율: 가입시 12개월 정기적금 고시이율),실명의 개인,스마트폰,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,최소가입금액: 1만원 이상 / 가입채널: 스마트뱅킹/ SB톡톡+,24
엔에이치저축은행,비대면정기적금,정액적립식,4.3,4.3,단리,없음,제한없음,인터넷/스마트폰,-1개월 이내: 지급 전일까지 해당 계좌의 약정금리와 기간별 적용금리 중 낮은 금리-1개월 초과: 지급일 당시 보통예금 이율,-가입금액: 월불입금 1만원 이상-가입기간: 6개월이상 36개월 이하,24
엔에이치저축은행,정기적금,정액적립식,4.2,4.3,단리,NH멤버스 회원인 경우 연 0.1% 우대금리 적용,제한없음,영업점,-1개월 이내: 지급 전일까지 해당 계좌의 약정금리와 기간별 적용금리 중 낮은 금리-1개월 초과: 지급일 당시 보통예금 이율,-가입금액: 월불입금 1만원 이상-가입기간: 6개월이상 36개월 이하,24
디비저축은행,E-정기적금(인터넷),정액적립식,4.2,4.2,복리,최고우대금리 : 0.1 / 인터넷 가입시 : 기본이율* + 0.1% (*기본이율: 가입시 12개월 정기적금 고시이율),실명의 개인/ 법인,인터넷,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,최소가입금액: 1만원 이상 / 가입채널: 인터넷뱅킹,24
디비저축은행,E-정기적금(인터넷),정액적립식,4.2,4.2,단리,최고우대금리 : 0.1 / 인터넷 가입시 : 기본이율* + 0.1% (*기본이율: 가입시 12개월 정기적금 고시이율),실명의 개인/ 법인,인터넷,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,최소가입금액: 1만원 이상 / 가입채널: 인터넷뱅킹,24
웰컴저축은행,정기적금,정액적립식,3.4,4.2,단리,계약기간(월수)의 2/3회 이상 당행 입출금통장 통한 자동이체 시 연 0.8%p,제한없음,인터넷,*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품/ 동일 계약기간의 신규약정금리 중 낮은 금리를 적용 *만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품/ 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용,인터넷뱅킹 전용상품,24
웰컴저축은행,정기적금,정액적립식,3.4,4.2,단리,계약기간(월수)의 2/3회 이상 당행 입출금통장 통한 자동이체 시 연 0.8%p,제한없음,스마트폰,*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품/ 동일 계약기간의 신규약정금리 중 낮은 금리를 적용 *만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품/ 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용,스마트(모바일)뱅킹 전용상품,24
인천저축은행,정기적금,정액적립식,4.2,4.2,단리,창구전용상품,제한없음,영업점,*만기후 1개월이내 : 최초약정이율*만기 1개월이후 : 연0.1%,적금가입금액 1만원이상,24
인천저축은행,정기적금,정액적립식,4.2,4.2,단리,창구전용상품,제한없음,영업점,*만기후 1개월이내 : 최초약정이율*만기 1개월이후 : 연0.1%,월불입액 1만원이상,24
인천저축은행,정기적금,정액적립식,4.2,4.2,단리,인터넷뱅킹 전용상품,인터넷뱅킹가입 대상,인터넷/스마트폰,*만기후 1개월이내 : 최초약정이율*만기 1개월이후 : 연0.1%,월불입액 1만원이상,24
청주저축은행,정기적금,정액적립식,4.2,4.2,단리,없음,제한없음,영업점,1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 043-256-9114,24
남양저축은행,정기적금,정액적립식,4.1,4.1,단리,없음,만 19세 이상,스마트폰,만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용/ 이후 0.1%,중도해지 이율 : 1개월미만 : 계약일의 보통예금 금리/ 1개월이상 6개월미만 : 약정이율의 50%/ 6개월이상 12개월미만 : 약정이율의 55%. 12개월 이상 : 약정이율의 65%,24
남양저축은행,정기적금,정액적립식,4.1,4.1,단리,없음,제한없음,영업점,만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용/ 이후 0.1%,중도해지 이율 : 1개월미만 : 계약일의 보통예금 금리/ 1개월이상 6개월미만 : 약정이율의 50%/ 6개월이상 12개월미만 : 약정이율의 55%. 12개월 이상 : 약정이율의 65%,24
남양저축은행,정기적금,정액적립식,4.1,4.1,단리,없음,제한없음,인터넷/스마트폰,만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용/ 이후 0.1%,중도해지 이율 : 1개월미만 : 계약일의 보통예금 금리/ 1개월이상 6개월미만 : 약정이율의 50%/ 6개월이상 12개월미만 : 약정이율의 55%. 12개월 이상 : 약정이율의 65%,24
대신저축은행,스마트정기적금,정액적립식,4.1,4.1,단리,-,스마트뱅크 가입고객,스마트폰,* 만기후 1개월이내: 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율* 만기후 1개월초과: 만기시점 보통예금 이율 (현재 0.1%),가입채널 제한 (모바일앱전용상품),24
디비저축은행,정기적금(창구),정액적립식,4.1,4.1,복리,해당사항없음,실명의 개인/ 법인,영업점,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,최소가입금액: 1만원 이상 / 가입채널: 대면(창구),24
디비저축은행,정기적금(창구),정액적립식,4.1,4.1,단리,해당사항없음,실명의 개인/ 법인,영업점,1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,최소가입금액: 1만원 이상 / 가입채널: 대면(창구),24
민국저축은행,정기적금,정액적립식,4.1,4.1,단리,- 없음,개인,스마트폰,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,24
